Nome da Tarefa,Status,Última Execução
AD-SSP_usersynctask,Em rota de atualização,2025-06-02 11:01
ETL_etl-mysql_extract_dgap_mysql_E_COMPORTAMENTO_REEDUCANDO,Success,2025-06-06 04:00
ETL_etl-mysql_extract_dgap_mysql_E_EVENTO_TIPO_REEDUCANDO,Success,2025-06-06 04:00
ETL_etl-mysql_extract_dgap_mysql_E_HISTORICOCHAMADA,Success,2025-06-06 04:00
ETL_etl-mysql_extract_dgap_mysql_E_MEDIDA_PROTETIVA,Success,2025-06-06 04:06
ETL_etl-mysql_extract_dgap_mysql_E_REEDUCANDO,Success,2025-06-06 04:06
ETL_etl-mysql_extract_dgap_mysql_E_REGIME_REEDUCANDO,Success,2025-06-06 04:08
ETL_etl-mysql_extract_dgap_mysql_E_SITUACAO_REEDUCANDO,Success,2025-06-06 04:11
ETL_etl-mysql_extract_dgap_mysql_E_UNIDADE_CARCERARIA,Success,2025-06-06 04:26
ETL_etl-oracle_extract_bm_vistoria_oracle_E_ESCALAS_BM,Success,2025-06-06 04:00
ETL_etl-oracle_extract_bm_vistoria_oracle_E_LOCALIDADE_BM,Success,2025-06-06 04:03
ETL_etl-oracle_extract_bm_vistoria_oracle_E_PERICIAINCENDIO,Success,2025-06-06 04:04
ETL_etl-oracle_extract_bm_vistoria_oracle_E_SICAD_FUNEBOM,Success,2025-06-06 04:07
ETL_etl-oracle_extract_dados_auxiliares_oracle_E_CIRCUNSCRICAO,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dados_auxiliares_oracle_E_RISP_AISP_CIDADE_BAIRRO_SSPJ,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_COR_RACA,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_ESTRUTURA_ORGANIZACIONAL_REAL,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_FAIXA_ETARIA,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_LOCALIDADE,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_MOTIVACAO,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_NATUREZA_SPI_TIPIFICADA,Success,2025-06-06 04:00
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_ORIENTACAO_SEXUAL,Success,2025-06-06 04:02
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_POPULACAO,Success,2025-06-06 04:03
ETL_etl-oracle_extract_dimensoes_gerais_oracle_E_SEXO,Success,2025-06-06 04:04
ETL_etl-oracle_extract_estrutura_organizacional_E_ESTRUTURA_ORGANIZACIONAL,Success,2025-06-06 04:00
ETL_etl-oracle_extract_extract_estrutura_organizacional_E_LOCALIZACAO_ESTRUTURA_ORGANIZACIONAL,Success,2025-06-06 04:00
ETL_etl-oracle_extract_extract_prisao_flagrante_oracle_E_PRISAO_FLAGRANTE_POSTERIOR,Success,2025-06-06 04:00
ETL_etl-oracle_extract_ipei_E_IPEI,Success,2025-06-06 06:00
ETL_etl-oracle_extract_minha_conta_E_MINHACONTA,Success,2025-06-06 04:00
ETL_etl-oracle_extract_minha_conta_E_MINHACONTA_LOGIN_DEVICE,Success,2025-06-06 04:01
ETL_etl-oracle_extract_minha_conta_E_OCORRENCIAVISUALIZACAO,Success,2025-06-06 04:09
ETL_etl-oracle_extract_mopi_E_MOPI,Success,2025-06-06 02:00
ETL_etl-oracle_extract_mopi_E_MOPI_CINTURAO,Success,2025-06-06 02:04
ETL_etl-oracle_extract_mportal_oracle_E_K9_MPORTAL,Success,2025-06-06 05:00
ETL_etl-oracle_extract_mulher_segura_oracle_E_MULHER_SEGURA,Success,2025-06-06 02:00
