Nome da Tarefa,Status,Última Execução
00.000_ETL_etl-oracle_extract_rai_oracle_E_GRUPO_PROATIVAS,Success,2025-06-06 06:00
00.000_ETL_etl-oracle_extract_rai_oracle_E_GRUPO_REATIVAS,Success,2025-06-06 06:00
00.000_ETL_etl-oracle_extract_rai_oracle_E_GRUPO_VEICULOS,Success,2025-06-06 06:00
00.000_ETL_etl-oracle_extract_rai_oracle_E_HOMICIDIO_FEMINICIDIO,Success,2025-06-06 06:00
00.000_ETL_etl-oracle_extract_rai_oracle_E_RAI,Success,2025-06-06 07:00
00.000_RAI,Success,2025-06-06 08:11
00.000_Relatorio - HOMICÍDIOS,Success,2025-06-06 06:00
01.000.000_ETL_extract_diversos_ofc_E_CALENDARIO,Success,2025-06-06 01:00
01.001.000_ETL_etl-oracle_extract_rai_oracle_E_FATO_OCORRENCIA,Success,2025-06-06 01:46
01.001.000_ETL_etl-oracle_extract_rai_oracle_E_PESSOA,Success,2025-06-06 01:01
02.000.000_ETL_etl-mongodb_extract_spp_novo_mongodb_E_DOCUMENTO,Success,2025-06-06 02:55
02.000.001_ETL_etl-mongodb_extract_spp_novo_mongodb_E_DOCUMENTOS_ANEXOS,Success,2025-06-06 03:18
02.001.000_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PROCEDIMENTO,Success,2025-06-06 02:55
02.001.001_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PROCEDIMENTO_HISTORICO_STATUS,Success,2025-06-06 02:56
02.001.002_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PROCEDIMENTO_TIPIFICACOES,Success,2025-06-06 02:57
02.002.000_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PARTE,Success,2025-06-06 02:55
02.002.001_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PARTE_QUALIFICACAO,Success,2025-06-06 02:57
02.002.002_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PARTE_TIPIFICACAO,Success,2025-06-06 02:58
02.003.000_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PROCESSO_PROJUD,Success,2025-06-06 02:55
02.003.001_ETL_etl-mongodb_extract_spp_novo_mongodb_E_PROCESSO_PROJUD_MOVIMENTACOES,Success,2025-06-06 02:55
03_Transform_DIVERSOS,Success,2025-06-06 02:55
04.000_ANÁLISE CRIMINAL - PRIORITÁRIAS,Success,2025-06-06 05:00
04.000_ANALISE CRIMINAL - VIOLÊNCIA DOMÉSTICA CONTRA A MULHER,Success,2025-06-06 05:00
04.000_RAI - OCORRÊNCIAS,Success,2025-06-06 05:00
04.000_RAI - PESSOAS ENVOLVIDAS,Success,2025-06-06 05:00
04.000_RELATÓRIO DE ALTA PRIORIDADE,Success,2025-06-06 05:00
